Member Name,Link,Join Date
"John M. Abowd",https://johnabowd.com,2025-01-01
"Rachel Cummings","https://rachelcummings.com/",2025-08-07
"Cynthia Dwork","https://dwork.seas.harvard.edu/",2025-01-01
"Alan F. Karr","https://www.fox.temple.edu/directory/alan-f-karr-tuq82224",2025-01-01
"Jerome P. Reiter","https://www2.stat.duke.edu/~jerry/",2025-08-15
"Aleksandra (Seša) Slavković","https://sites.psu.edu/sesa/",2025-08-01
"Kunal Talwar","http://kunaltalwar.org/",2025-04-04
"Lars Vilhuber","https://www.vilhuber.com/lars/www.vilhuber.com/lars/index.html",2025-01-01
